Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
2/7;2/5;[[0,0],[1,0],[8,13],[3,3],[6,11],[8,11]]
2/5;1/2;[[0,0],[1,0],[0,4],[-1,1],[-3,7],[-3,13]]
4/15;1/3;[[0,0],[1,0],[10,22],[11,25],[-2,-7],[12,27]]
1/2;1/2;[[0,0],[2,0],[0,4],[1,3],[-4,4],[-6,7]]
14/55;2/5;[[0,0],[1,0],[6,13],[-9,-25]]
1/2;1/2;[[0,0],[2,0],[1,2],[-5,1],[-6,2],[-4,4],[-3,4]]
4/13;2/5;[[0,0],[6,0],[0,1],[-12,2],[-13,2],[22,-3]]
2/7;2/5;[[0,0],[1,0],[0,6],[-1,5],[2,7],[-3,2]]
14/45;2/5;[[0,0],[2,0],[1,4],[4,5],[-3,1],[-3,2]]
3/8;1/2;[[0,0],[2,0],[1,2],[-2,-5],[-1,-9],[-2,-8]]
18/65;2/5;[[0,0],[1,0],[8,13],[8,11],[11,17],[4,4]]
3/14;2/5;[[0,0],[1,0],[12,17],[15,21],[5,5]]
2/3;2/3;[[0,0],[1,0],[1,10],[2,10],[2,9],[0,-8],[-1,-12],[-1,-13]]
4/9;2/3;[[0,0],[1,0],[3,5],[3,12],[2,12]]
4/11;2/5;[[0,0],[2,0],[0,5],[-2,3],[3,2],[-2,6],[-3,5]]
27/136;1/2;[[0,0],[1,0],[12,13],[-13,-15],[7,8],[15,17]]
1/3;2/5;[[0,0],[1,0],[0,1],[-15,5],[-11,3],[-14,4],[-5,3]]
2/7;2/5;[[0,0],[1,0],[6,7],[6,6],[1,4],[3,7]]
2/7;2/5;[[0,0],[1,0],[5,10],[4,9],[-1,-3],[7,10]]
3/7;3/7;[[0,0],[1,0],[0,2],[1,5],[2,1],[5,9],[5,7]]
1/3;2/5;[[0,0],[1,0],[1,2],[-3,-11],[-4,-11],[-1,-9]]
1/5;2/5;[[0,0],[1,0],[10,12],[7,7],[-7,-9],[11,14]]
